prompt,class,environment,style,amount
Three chairs in a laundry room with a cozy style.,chair,laundry room,cozy,Three
"

A pair of plush armchairs in a sunlit laundry room with a rustic feel.",chair,laundry room,cozy,Multiple
A modern style chair in the basement.,chair,basement,modern,Single
Two chairs in a basement with a modern style.,chair,basement,modern,Two
Three modern chairs in a basement.,chair,basement,modern,Three
A modern style basement with two identical chairs.,chair,basement,modern,Multiple
A single minimalist chair in the basement.,chair,basement,minimalist,Single
Two minimalist chairs in a basement.,chair,basement,minimalist,Two
Three minimalist chairs in a basement.,chair,basement,minimalist,Three
"

Minimalist basement with three identical chairs arranged in a row.",chair,basement,minimalist,Multiple
A single chair in the basement with a rustic style.,chair,basement,rustic,Single
Two rustic chairs in the basement.,chair,basement,rustic,Two
Three rustic chairs in a basement.,chair,basement,rustic,Three
"

A rustic basement with multiple worn-out chairs arranged around a fireplace.",chair,basement,rustic,Multiple
"

A single industrial-style chair in a basement setting.",chair,basement,industrial,Single
Two industrial style chairs in the basement.,chair,basement,industrial,Two
Three industrial-style chairs in a basement.,chair,basement,industrial,Three
"

A basement filled with industrial chairs arranged in rows.",chair,basement,industrial,Multiple
"A single chair in the basement, upholstered in rich velvet, with a high-back and ornate gold detailing.",chair,basement,luxury,Single
Two luxury chairs in a dimly lit basement.,chair,basement,luxury,Two
Three luxury chairs in a dimly lit basement.,chair,basement,luxury,Three
"

A luxurious basement lounge featuring an elegant arrangement of five plush velvet chairs with gold accents and matching side tables.",chair,basement,luxury,Multiple
"

A single vintage chair in the basement.",chair,basement,vintage,Single
Two vintage chairs in the basement.,chair,basement,vintage,Two
Three vintage chairs in a dimly lit basement.,chair,basement,vintage,Three
"

A vintage-style chair in a cluttered basement.",chair,basement,vintage,Multiple
"

A single chair in the basement with a Scandinavian design.",chair,basement,scandinavian,Single
Two chairs in a basement with a Scandinavian style.,chair,basement,scandinavian,Two
Three chairs in a dimly lit basement with a Scandinavian style.,chair,basement,scandinavian,Three
"

A Scandinavian-style basement with three chairs arranged around a small fireplace.",chair,basement,scandinavian,Multiple
A single chair in the basement with a messy style.,chair,basement,messy,Single
Two chairs in a cluttered basement.,chair,basement,messy,Two
Three chairs in a cluttered basement.,chair,basement,messy,Three
"

A chair and several piles of clutter in a dimly lit basement.",chair,basement,messy,Multiple
A single chair in the basement with a clean design.,chair,basement,clean,Single
Two chairs in a clean basement.,chair,basement,clean,Two
Three chairs in a cluttered basement. Three chairs in a minimalist study. Three chairs in a sunlit garden. Three chairs in a rustic cabin. Three chairs in a sleek kitchen. Three chairs in a traditional library. Three chairs,chair,basement,clean,Three
"

A clean-styled basement with multiple chairs arranged in a minimalist setup.",chair,basement,clean,Multiple
"A single chair in the basement with a plush, shaggy rug and warm, string lights.",chair,basement,cozy,Single
Two chairs in the basement with a cozy style.,chair,basement,cozy,Two
Three chairs in a basement with a cozy style.,chair,basement,cozy,Three
"

A basement filled with plush armchairs and oversized club chairs, all arranged around a crackling fireplace.",chair,basement,cozy,Multiple
"

A single modern garden chair",chair,garden,modern,Single
Two modern chairs in a garden setting.,chair,garden,modern,Two
Three modern chairs in a garden setting.,chair,garden,modern,Three
"

A modern garden setting with two identical chairs.",chair,garden,modern,Multiple
"

Minimalist garden with a single chair.",chair,garden,minimalist,Single
Two minimalist chairs in a garden.,chair,garden,minimalist,Two
Three minimalist chairs in a garden setting.,chair,garden,minimalist,Three
Minimalist garden with three chairs.,chair,garden,minimalist,Multiple
"

A rustic garden chair, weathered and worn, with intricate carvings and a distressed finish.",chair,garden,rustic,Single
Two rustic chairs in a garden setting.,chair,garden,rustic,Two
Three rustic chairs in a garden setting.,chair,garden,rustic,Three
"

A garden scene with five rustic chairs arranged around a fire pit.",chair,garden,rustic,Multiple
"

A single industrial-style chair for the garden.",chair,garden,industrial,Single
Two industrial-style chairs in a garden setting.,chair,garden,industrial,Two
Three industrial-style chairs in a garden setting.,chair,garden,industrial,Three
"

Multiple industrial-style chairs in a garden setting.",chair,garden,industrial,Multiple
"

A single chair, elegantly adorned with plush velvet upholstery, nestled among lush greenery in a tranquil garden setting. The chair boasts ornate carvings and gold accents",chair,garden,luxury,Single
Two elegant chairs in a lush garden setting.,chair,garden,luxury,Two
Three elegant chairs arranged around a lush fountain in a tranquil garden setting.,chair,garden,luxury,Three
"

Luxury garden setting with five identical wicker chairs, each adorned with plush cushions and intricate floral designs.",chair,garden,luxury,Multiple
"

A single vintage-style chair in a garden setting.",chair,garden,vintage,Single
Two vintage chairs in a garden setting.,chair,garden,vintage,Two
Three vintage chairs in a garden setting.,chair,garden,vintage,Three
"

Vintage-style chair set in a garden with blooming roses. Two chairs and a small table in between.",chair,garden,vintage,Multiple
"

A single chair in a garden, adorned with Scandinavian design elements.",chair,garden,scandinavian,Single
Two Scandinavian-style chairs in a garden setting.,chair,garden,scandinavian,Two
Three chairs in a garden with a Scandinavian style.,chair,garden,scandinavian,Three
"

A garden scene featuring an even number of Scandinavian-style chairs arranged around a small table, creating a serene and inviting atmosphere.",chair,garden,scandinavian,Multiple
"

A weathered garden chair with a chaotic arrangement of colorful cushions and flowers.",chair,garden,messy,Single
Two chairs in a garden with a messy style.,chair,garden,messy,Two
Three chairs in a garden with a messy style.,chair,garden,messy,Three
"

A garden scene with five mismatched chairs, their paint chipped and weathered, surrounded by a jumble of colorful flowers and overgrown foliage.",chair,garden,messy,Multiple
"

A single chair in a tranquil garden setting, featuring a clean and minimalist design.",chair,garden,clean,Single
Two chairs in a garden with a clean design.,chair,garden,clean,Two
Three chairs in a garden with a clean design.,chair,garden,clean,Three
"

Multiple rattan chairs arranged in a circle around a fire pit in a minimalist garden setting.",chair,garden,clean,Multiple
A single chair with a rustic garden style.,chair,garden,cozy,Single
Two chairs in a garden with a cozy style.,chair,garden,cozy,Two
Three chairs in a garden with a cozy style.,chair,garden,cozy,Three
"

Five wicker chairs arranged in a circle around a fire pit in a garden, creating a cozy and inviting seating area.",chair,garden,cozy,Multiple
A single modern style chair for the patio.,chair,patio,modern,Single
Two modern patio chairs.,chair,patio,modern,Two
Three modern chairs on a patio.,chair,patio,modern,Three
"

A modern patio with two identical chairs arranged side by side.",chair,patio,modern,Multiple
"

Minimalist patio with a single chair.",chair,patio,minimalist,Single
Two minimalist chairs in a patio setting.,chair,patio,minimalist,Two
Three minimalist chairs on a patio.,chair,patio,minimalist,Three
Minimalist patio with three identical chairs.,chair,patio,minimalist,Multiple
"

A single chair with a rustic patina in a sunlit patio setting.",chair,patio,rustic,Single
Two rustic chairs on a patio.,chair,patio,rustic,Two
Three rustic chairs on a patio.,chair,patio,rustic,Three
"

Patio with three rustic chairs.",chair,patio,rustic,Multiple
"

A single industrial-style chair for a patio.",chair,patio,industrial,Single
Two industrial style chairs on a patio.,chair,patio,industrial,Two
Three chairs in a patio with an industrial style.,chair,patio,industrial,Three
"

Patio with three industrial-style chairs.",chair,patio,industrial,Multiple
"

A single patio chair with a plush, velvet cushion and ornate gold accents.",chair,patio,luxury,Single
Two luxury chairs in a patio setting.,chair,patio,luxury,Two
Three luxury chairs on a patio.,chair,patio,luxury,Three
"

Patio area with three high-end, plush chairs in a luxurious arrangement.",chair,patio,luxury,Multiple
"

A single vintage-style patio chair.",chair,patio,vintage,Single
Two vintage chairs in a patio setting.,chair,patio,vintage,Two
Three vintage chairs on a patio.,chair,patio,vintage,Three
"

Patio with three vintage-style chairs.",chair,patio,vintage,Multiple
"

A single chair in a patio with a Scandinavian design.",chair,patio,scandinavian,Single
Two chairs in a patio with a scandinavian style.,chair,patio,scandinavian,Two
Three chairs in a patio with a Scandinavian style.,chair,patio,scandinavian,Three
"

Patio with three Scandinavian-style chairs arranged in a row.",chair,patio,scandinavian,Multiple
"

A single chair in a patio with a messy, bohemian style.",chair,patio,messy,Single
Two chairs in a patio with a messy style.,chair,patio,messy,Two
Three chairs in a patio with a messy style.,chair,patio,messy,Three
"

Patio with three messy-style chairs.",chair,patio,messy,Multiple
"

A single clean-lined chair for the patio.",chair,patio,clean,Single
Two chairs in a patio with a clean design.,chair,patio,clean,Two
Three chairs in a patio with a clean design.,chair,patio,clean,Three
"

Patio with three clean-lined chairs arranged in a row.",chair,patio,clean,Multiple
"

A single patio chair with a plush, woven cushion and a warm color palette.",chair,patio,cozy,Single
Two patio chairs with a cozy style.,chair,patio,cozy,Two
Three chairs in a patio with a cozy style.,chair,patio,cozy,Three
"

Five wicker chairs arranged in a circle around a fire pit in a rustic patio setting.

Three rattan chairs with plush cushions and a small table between them in a tropical garden.

Two wooden Ad",chair,patio,cozy,Multiple
"A modern living room with a sleek, glass-topped table.",table,living room,modern,Single
Two tables in a contemporary living room.,table,living room,modern,Two
Three tables in a contemporary living room.,table,living room,modern,Three
"

A living room featuring a sleek, modern table with seating for four.",table,living room,modern,Multiple
