prompt,class,environment,weather,amount
"

A lone buffalo in the open plains under overcast skies.",buffalo,open plains,cloudy,Single
Two buffalo in the open plains under cloudy weather.,buffalo,open plains,cloudy,Two
Three buffalo roaming the open plains under cloudy skies.,buffalo,open plains,cloudy,Three
"

A herd of buffalos roaming the open plains under overcast skies.",buffalo,open plains,cloudy,Multiple
A lone buffalo in the open plains during a rainstorm.,buffalo,open plains,rainy,Single
Two buffalo in the open plains during rainy weather.,buffalo,open plains,rainy,Two
Three buffalo roaming the open plains under a rainy sky.,buffalo,open plains,rainy,Three
Buffalo herd in the open plains under a rainy sky.,buffalo,open plains,rainy,Multiple
A lone buffalo in the vast open plains amidst a stormy weather.,buffalo,open plains,stormy,Single
Two buffalo in the open plains during a storm.,buffalo,open plains,stormy,Two
Three buffalo roaming the open plains amidst a stormy weather.,buffalo,open plains,stormy,Three
"

A herd of buffalos on the open plains as a storm approaches, dark clouds gathering on the horizon.",buffalo,open plains,stormy,Multiple
"

A lone buffalo in the open plains, surrounded by golden grasses, as fog rolls in, obscuring the horizon.",buffalo,open plains,foggy,Single
Two buffalo in the open plains shrouded in fog.,buffalo,open plains,foggy,Two
Three buffalo roaming the open plains shrouded in fog.,buffalo,open plains,foggy,Three
"

A herd of buffalos roaming in the open plains under a foggy weather.",buffalo,open plains,foggy,Multiple
A lone buffalo on the open plains under a windy sky.,buffalo,open plains,windy,Single
Two buffalo in the open plains under windy conditions.,buffalo,open plains,windy,Two
Three buffalo roaming the open plains under a windy sky.,buffalo,open plains,windy,Three
"

A herd of buffalos roaming on the open plains under a windy sky.",buffalo,open plains,windy,Multiple
"

A lone buffalo in the vast open plains under a clear sky.",buffalo,open plains,clear,Single
Two buffalo in the open plains under clear skies.,buffalo,open plains,clear,Two
Three buffalo roaming the open plains under clear skies.,buffalo,open plains,clear,Three
"Clear open plains, herd of buffalo roaming.",buffalo,open plains,clear,Multiple
A lone buffalo in the arid plains under the scorching sun.,buffalo,open plains,dry season,Single
Two buffalo in the open plains during the dry season.,buffalo,open plains,dry season,Two
Three buffalo roaming the open plains under the scorching sun of the dry season.,buffalo,open plains,dry season,Three
"

A herd of buffalos on the open plains under the scorching sun during the dry season.",buffalo,open plains,dry season,Multiple
"

A lone buffalo in the open plains during the wet season.",buffalo,open plains,wet season,Single
Two buffalo in the open plains during the wet season.,buffalo,open plains,wet season,Two
Three buffalo roaming the open plains under a wet season sky.,buffalo,open plains,wet season,Three
"

A herd of buffalos in the lush, green plains during the wet season.",buffalo,open plains,wet season,Multiple
A single buffalo in the acacia trees under a sunny sky.,buffalo,near acacia trees,sunny,Single
Two buffalo near acacia trees under sunny weather.,buffalo,near acacia trees,sunny,Two
Three buffalo near acacia trees under sunny weather.,buffalo,near acacia trees,sunny,Three
"

A herd of buffalos grazing beneath acacia trees on a sunny day.",buffalo,near acacia trees,sunny,Multiple
"

A single buffalo among acacia trees under cloudy weather.",buffalo,near acacia trees,cloudy,Single
Two buffalo near acacia trees in cloudy weather.,buffalo,near acacia trees,cloudy,Two
Three buffalo near acacia trees in cloudy weather.,buffalo,near acacia trees,cloudy,Three
"

A herd of buffalos grazing beneath near acacia trees under cloudy weather.",buffalo,near acacia trees,cloudy,Multiple
A single buffalo in the near acacia trees during rainy weather.,buffalo,near acacia trees,rainy,Single
Two buffalo near acacia trees in the rain.,buffalo,near acacia trees,rainy,Two
Three buffalo near acacia trees in the rain.,buffalo,near acacia trees,rainy,Three
Buffalo herd under acacia trees during rain.,buffalo,near acacia trees,rainy,Multiple
A single buffalo in the acacia trees during a storm.,buffalo,near acacia trees,stormy,Single
Two buffalo near acacia trees in a stormy weather.,buffalo,near acacia trees,stormy,Two
Three buffalo near acacia trees in a stormy weather.,buffalo,near acacia trees,stormy,Three
"

A herd of buffalo huddled near acacia trees, the stormy weather casting ominous shadows upon their forms.",buffalo,near acacia trees,stormy,Multiple
"

A single buffalo among acacia trees in foggy conditions.",buffalo,near acacia trees,foggy,Single
Two buffalo near acacia trees in foggy weather.,buffalo,near acacia trees,foggy,Two
Three buffalo near acacia trees in foggy weather.,buffalo,near acacia trees,foggy,Three
"

A buffalo herd grazing among acacia trees in a foggy landscape.",buffalo,near acacia trees,foggy,Multiple
A single buffalo in the acacia trees under windy conditions.,buffalo,near acacia trees,windy,Single
Two buffalo near acacia trees in windy weather.,buffalo,near acacia trees,windy,Two
Three buffalo near acacia trees in windy weather.,buffalo,near acacia trees,windy,Three
Buffalo herd in acacia trees under windy conditions.,buffalo,near acacia trees,windy,Multiple
"

A single buffalo among acacia trees under clear skies.",buffalo,near acacia trees,clear,Single
Two buffalo near acacia trees in clear weather.,buffalo,near acacia trees,clear,Two
Three buffalo near acacia trees in clear weather.,buffalo,near acacia trees,clear,Three
"

A herd of buffalos grazing beneath near acacia trees under clear skies.",buffalo,near acacia trees,clear,Multiple
A single buffalo in the acacia trees during the dry season.,buffalo,near acacia trees,dry season,Single
Two buffalo near acacia trees in a dry season.,buffalo,near acacia trees,dry season,Two
Three buffalo near acacia trees in a dry season.,buffalo,near acacia trees,dry season,Three
"

A herd of buffalos grazing beneath near acacia trees during the dry season.",buffalo,near acacia trees,dry season,Multiple
A single buffalo in the near acacia trees during the wet season.,buffalo,near acacia trees,wet season,Single
Two buffalo near acacia trees in wet season.,buffalo,near acacia trees,wet season,Two
Three buffalo near acacia trees in wet season.,buffalo,near acacia trees,wet season,Three
Buffalo herd in acacia trees during wet season.,buffalo,near acacia trees,wet season,Multiple
"

A single buffalo wading in a muddy river under a sunny sky.",buffalo,muddy river,sunny,Single
Two buffalo in a muddy river under a sunny sky.,buffalo,muddy river,sunny,Two
Three buffalo wading in a muddy river under a sunny sky.,buffalo,muddy river,sunny,Three
"

A sunny day at a muddy riverbank, home to numerous buffalos.",buffalo,muddy river,sunny,Multiple
"

A lone buffalo wading in a muddy river under overcast skies.",buffalo,muddy river,cloudy,Single
Two buffalo in a muddy river under cloudy weather.,buffalo,muddy river,cloudy,Two
Three buffalo wading in a muddy river under cloudy weather.,buffalo,muddy river,cloudy,Three
"

A herd of buffalos wading in a muddy river under cloudy weather.",buffalo,muddy river,cloudy,Multiple
"

A lone buffalo wades through a muddy river in the rain.",buffalo,muddy river,rainy,Single
Two buffalo in a muddy river during rainy weather.,buffalo,muddy river,rainy,Two
Three buffalo wading in a muddy river under a rainy sky.,buffalo,muddy river,rainy,Three
"

A herd of buffalos wading in a muddy river under a rainy sky.",buffalo,muddy river,rainy,Multiple
"

A lone buffalo wades through a muddy river as the sky darkens with storm clouds.",buffalo,muddy river,stormy,Single
Two buffalo in a muddy river during a storm.,buffalo,muddy river,stormy,Two
Three buffalo wading in a muddy river during a storm.,buffalo,muddy river,stormy,Three
"

A herd of buffalos wading in a muddy river during a storm.",buffalo,muddy river,stormy,Multiple
"

A lone buffalo wades through a muddy river in the foggy morning.",buffalo,muddy river,foggy,Single
Two buffalo in a muddy river under foggy weather.,buffalo,muddy river,foggy,Two
Three buffalo wading in a foggy river.,buffalo,muddy river,foggy,Three
"

A buffalo herd wades through a muddy river under a foggy sky.",buffalo,muddy river,foggy,Multiple
"

A lone buffalo wades through a muddy river in a windy conditions.",buffalo,muddy river,windy,Single
Two buffalo in a muddy river during a windy day.,buffalo,muddy river,windy,Two
Three buffalo wading in a muddy river under windy conditions.,buffalo,muddy river,windy,Three
"

A herd of buffalos wading in a muddy river under a windy sky.",buffalo,muddy river,windy,Multiple
"

A single buffalo wading in a muddy river under clear skies.",buffalo,muddy river,clear,Single
Two buffalo in a muddy river under clear skies.,buffalo,muddy river,clear,Two
Three buffalo wading in a muddy river under clear skies.,buffalo,muddy river,clear,Three
"

Multiple buffalos wading in a muddy river under clear skies.",buffalo,muddy river,clear,Multiple
"

A lone buffalo wading through a muddy river during the dry season.",buffalo,muddy river,dry season,Single
Two buffalo in a muddy river during the dry season.,buffalo,muddy river,dry season,Two
Three buffalo wading in a muddy river during the dry season.,buffalo,muddy river,dry season,Three
"

Multiple buffalos wallowing in a muddy river during the dry season.",buffalo,muddy river,dry season,Multiple
"

A lone buffalo wading through a muddy river during the wet season.",buffalo,muddy river,wet season,Single
Two buffalo in a muddy river during the wet season.,buffalo,muddy river,wet season,Two
Three buffalo wading in a muddy river during the wet season.,buffalo,muddy river,wet season,Three
"

Multiple buffalos wallowing in a muddy river during the wet season.",buffalo,muddy river,wet season,Multiple
A single buffalo in the dusty trail under the sunny sky.,buffalo,dusty trail,sunny,Single
Two buffalo in a dusty trail under a sunny sky.,buffalo,dusty trail,sunny,Two
Three buffalo in a dusty trail under a sunny sky.,buffalo,dusty trail,sunny,Three
"

A herd of ten buffalos in the arid trail under the sunny sky. Dust rises as they move.",buffalo,dusty trail,sunny,Multiple
"

A lone buffalo in the dusty trail under overcast skies.",buffalo,dusty trail,cloudy,Single
Two buffalo in a dusty trail under cloudy weather.,buffalo,dusty trail,cloudy,Two
Three buffalo in a dusty trail under cloudy weather.,buffalo,dusty trail,cloudy,Three
"

A herd of buffalos in a cloudy trail, covered in dust.",buffalo,dusty trail,cloudy,Multiple
"A lone buffalo in the arid trail, surrounded by dust, during a rainy day.",buffalo,dusty trail,rainy,Single
Two buffalo in a dusty trail during rainy weather.,buffalo,dusty trail,rainy,Two
Three buffalo in a dusty trail during rainy weather.,buffalo,dusty trail,rainy,Three
"

A herd of buffalo in a dusty trail under a rainy sky.",buffalo,dusty trail,rainy,Multiple
"A lone buffalo in the arid trail, surrounded by a cloud of dust, as a storm brews on the horizon.",buffalo,dusty trail,stormy,Single
Two buffalo in a dusty trail during a storm.,buffalo,dusty trail,stormy,Two
Three buffalo in a dusty trail during a storm.,buffalo,dusty trail,stormy,Three
A herd of buffalo in a dusty trail during a storm.,buffalo,dusty trail,stormy,Multiple
"

A lone buffalo in the dusty trail, surrounded by a thick fog.",buffalo,dusty trail,foggy,Single
Two buffalo in a dusty trail under foggy conditions.,buffalo,dusty trail,foggy,Two
Three buffalo in a dusty trail under foggy conditions.,buffalo,dusty trail,foggy,Three
"

A herd of buffalo in a dusty trail, shrouded in fog.",buffalo,dusty trail,foggy,Multiple
"A lone buffalo in the arid desert, surrounded by a cloud of dust, under a windy sky.",buffalo,dusty trail,windy,Single
Two buffalo in a dusty trail under windy conditions.,buffalo,dusty trail,windy,Two
Three buffalo in a dusty trail under windy conditions.,buffalo,dusty trail,windy,Three
A herd of buffalo in the arid desert under a windy day.,buffalo,dusty trail,windy,Multiple
A single buffalo in the dusty trail under clear skies.,buffalo,dusty trail,clear,Single
Two buffalo in a dusty trail under clear skies.,buffalo,dusty trail,clear,Two
Three buffalo in a dusty trail under clear skies.,buffalo,dusty trail,clear,Three
"

A herd of ten buffalos in the arid desert under clear skies. Dust trails behind them as they move.",buffalo,dusty trail,clear,Multiple
A lone buffalo in the arid trail during the dry season.,buffalo,dusty trail,dry season,Single
Two buffalo in a dusty trail during the dry season.,buffalo,dusty trail,dry season,Two
Three buffalos in a dusty trail during the dry season.,buffalo,dusty trail,dry season,Three
"

A herd of buffalos in the arid trail under the scorching sun of the dry season.",buffalo,dusty trail,dry season,Multiple
